Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Tract, %",Internet Access Score,"Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Tract, %",Spend Growth Score,"Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Tract, %"
,13121009300,Fulton County,Georgia,2024,54.0,47,62,48.0,35.0,61,27.0,-40.4,43.0,16.5,64,6.4,63.0,75.6,49.0,91.5,68.0,64.1,67.0,45,89.0,49.0,-9.5,51.0,,34.0,-55.2,82.0,7.4,98.0,99.0,87.0,3.1,48.0,60.0,36.0,83.0,27.2,36.0,,66.0,92.3,11.0,50.5,52.0,28.8,16.0,88.7
,13067030339,Cobb County,Georgia,2020,60.0,59,62,66.0,60.0,71,73.0,5.2,48.0,32.0,92,20.4,41.0,70.7,87.0,94.0,65.0,61.8,65.0,65,65.0,71.0,10.5,40.0,,84.0,23.4,0.0,0.3,98.0,99.0,96.0,36.9,51.0,52.0,50.0,42.0,4.4,63.0,,69.0,92.2,64.0,39.6,25.0,16.3,43.0,93.4
,13067030339,Cobb County,Georgia,2021,58.0,52,65,51.0,33.0,69,42.0,-5.8,24.0,-2.3,92,20.4,39.0,70.5,94.0,97.8,50.0,55.6,67.0,66,68.0,46.0,-3.1,83.0,,70.0,10.7,8.0,1.7,98.0,98.0,97.0,38.6,58.0,57.0,59.0,53.0,10.6,61.0,,79.0,94.9,79.0,36.4,,,19.0,89.6
,13067030339,Cobb County,Georgia,2022,60.0,52,67,50.0,32.0,69,34.0,-20.1,29.0,11.6,92,20.4,36.0,69.2,95.0,98.4,54.0,57.8,62.0,53,70.0,51.0,-21.9,43.0,,65.0,17.6,14.0,2.2,98.0,98.0,97.0,39.2,66.0,70.0,61.0,62.0,14.9,77.0,,85.0,95.8,83.0,35.8,,,15.0,88.4
,13067030339,Cobb County,Georgia,2023,60.0,53,68,53.0,38.0,68,34.0,-36.4,41.0,45.0,92,20.4,32.0,67.2,89.0,97.6,57.0,59.3,65.0,59,71.0,73.0,36.5,68.0,,37.0,-50.3,17.0,1.9,98.0,98.0,98.0,40.1,63.0,61.0,65.0,63.0,17.7,59.0,,83.0,95.5,90.0,34.4,,,23.0,90.7
,13067030339,Cobb County,Georgia,2024,63.0,52,74,53.0,38.0,68,34.0,-36.4,41.0,45.0,92,20.4,32.0,67.2,89.0,97.6,57.0,59.3,74.0,60,88.0,71.0,-4.3,72.0,,37.0,-50.3,67.0,5.1,98.0,98.0,99.0,7.7,61.0,57.0,65.0,63.0,17.7,51.0,,83.0,95.5,90.0,34.4,,,23.0,90.7
,13121009602,Fulton County,Georgia,2020,62.0,64,61,59.0,70.0,48,75.0,8.2,65.0,28.0,19,1.3,45.0,71.6,55.0,86.4,74.0,65.9,72.0,61,82.0,78.0,13.7,40.0,,65.0,7.6,58.0,4.0,90.0,94.0,99.0,43.6,56.0,60.0,52.0,34.0,-9.7,86.0,,61.0,90.5,10.0,50.7,54.0,27.0,84.0,97.7
,13121009602,Fulton County,Georgia,2021,62.0,58,66,41.0,30.0,52,28.0,-12.7,32.0,-41.1,19,1.3,47.0,72.6,70.0,93.2,71.0,64.2,84.0,87,82.0,92.0,22.3,88.0,,80.0,19.5,52.0,5.2,95.0,96.0,99.0,46.4,61.0,58.0,64.0,42.0,2.9,75.0,,71.0,93.3,26.0,45.7,,,95.0,99.3
,13121009602,Fulton County,Georgia,2022,64.0,61,68,43.0,28.0,58,24.0,-34.0,31.0,-42.2,19,1.3,64.0,76.6,72.0,94.4,77.0,67.8,76.0,76,77.0,90.0,6.8,49.0,,90.0,53.1,38.0,4.0,94.0,96.0,100.0,50.2,73.0,78.0,68.0,86.0,25.3,69.0,,83.0,95.6,27.0,45.6,,,94.0,99.2
,13121009602,Fulton County,Georgia,2023,60.0,55,64,44.0,28.0,60,23.0,-55.3,32.0,-33.3,19,1.3,70.0,77.5,70.0,94.9,83.0,71.3,72.0,61,82.0,56.0,19.2,65.0,,61.0,-12.4,51.0,4.0,94.0,96.0,100.0,51.1,62.0,75.0,49.0,86.0,29.0,64.0,,71.0,93.2,17.0,48.4,,,60.0,96.1
,13121009602,Fulton County,Georgia,2024,59.0,56,62,44.0,28.0,60,23.0,-55.3,32.0,-33.3,19,1.3,70.0,77.5,70.0,94.9,83.0,71.3,74.0,71,78.0,87.0,3.0,64.0,,61.0,-12.4,40.0,3.0,94.0,96.0,100.0,17.8,60.0,70.0,49.0,86.0,29.0,54.0,,71.0,93.2,17.0,48.4,,,60.0,96.1
,13089021504,DeKalb County,Georgia,2020,62.0,67,57,58.0,56.0,60,68.0,5.2,44.0,12.6,56,5.0,21.0,64.8,85.0,93.6,78.0,67.6,70.0,75,64.0,74.0,13.4,71.0,,81.0,25.0,19.0,1.9,95.0,97.0,77.0,26.7,60.0,71.0,48.0,87.0,27.9,55.0,,39.0,83.9,12.0,49.9,68.0,32.7,74.0,96.6
,13089021504,DeKalb County,Georgia,2021,52.0,48,55,45.0,28.0,62,30.0,-10.3,27.0,-27.7,56,5.0,48.0,72.7,82.0,95.2,60.0,59.6,56.0,52,61.0,49.0,0.0,61.0,,46.0,-5.1,10.0,1.9,97.0,98.0,76.0,26.5,53.0,64.0,42.0,84.0,26.9,44.0,,18.0,74.9,24.0,46.4,62.0,33.0,65.0,96.6
,13089021504,DeKalb County,Georgia,2022,51.0,50,52,42.0,26.0,59,27.0,-27.2,25.0,-34.4,56,5.0,49.0,72.7,75.0,94.9,55.0,58.3,63.0,62,64.0,59.0,-16.6,71.0,,56.0,13.5,22.0,2.8,91.0,94.0,80.0,28.2,48.0,62.0,34.0,66.0,17.0,58.0,,12.0,70.0,23.0,46.6,52.0,28.4,50.0,95.0
,13089021504,DeKalb County,Georgia,2023,46.0,39,52,46.0,26.0,66,26.0,-45.5,25.0,-25.6,56,5.0,70.0,77.5,84.0,96.8,52.0,57.3,56.0,49,64.0,51.0,18.2,63.0,,33.0,-51.1,18.0,1.9,91.0,94.0,82.0,28.4,35.0,43.0,27.0,49.0,11.5,37.0,,14.0,71.8,27.0,45.8,,,39.0,93.7
,13089021504,DeKalb County,Georgia,2024,46.0,40,51,46.0,26.0,66,26.0,-45.5,25.0,-25.6,56,5.0,70.0,77.5,84.0,96.8,52.0,57.3,54.0,47,61.0,61.0,-6.2,47.0,,33.0,-51.1,5.0,1.0,91.0,94.0,87.0,3.1,36.0,46.0,27.0,49.0,11.5,43.0,,14.0,71.8,27.0,45.8,,,39.0,93.7
,13121011201,Fulton County,Georgia,2020,32.0,31,33,24.0,14.0,34,18.0,-12.6,11.0,-9.4,29,2.0,42.0,70.8,27.0,76.6,39.0,51.7,48.0,52,44.0,75.0,39.3,58.0,,22.0,-7.0,51.0,3.5,30.0,39.0,51.0,20.8,23.0,26.0,20.0,36.0,11.2,16.0,,11.0,65.4,46.0,42.3,19.0,13.7,5.0,82.4
,13121011201,Fulton County,Georgia,2021,36.0,43,30,20.0,14.0,27,17.0,-31.4,12.0,-20.2,29,2.0,29.0,67.5,35.0,85.5,14.0,38.7,52.0,55,49.0,36.0,1.2,55.0,,73.0,57.5,58.0,5.8,42.0,51.0,48.0,20.2,37.0,59.0,15.0,57.0,22.9,61.0,,15.0,72.5,34.0,44.1,8.0,10.0,2.0,77.1
,13121011201,Fulton County,Georgia,2022,36.0,37,35,26.0,17.0,36,17.0,-41.8,17.0,-0.7,29,2.0,48.0,72.4,32.0,86.4,37.0,51.2,52.0,51,53.0,19.0,-32.6,59.0,,75.0,111.1,51.0,5.2,46.0,55.0,62.0,23.5,30.0,44.0,16.0,63.0,29.0,24.0,,9.0,65.7,37.0,43.5,,,1.0,75.0
